op,scenario,latency_ns
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,41
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,41
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,42
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,41
insert,random,41
insert,random,0
insert,random,0
insert,random,0
insert,random,41
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,41
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,0
insert,random,0
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,125
insert,random,41
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,42
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,41
insert,random,41
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
insert,random,0
